Frame_Index,System_Time_s,Human_Readable
0,1775226107.3814359,16:21:47.381
1,1775226107.3868566,16:21:47.386
2,1775226107.3969846,16:21:47.396
3,1775226107.4046698,16:21:47.404
4,1775226107.416674,16:21:47.416
5,1775226107.4336712,16:21:47.433
6,1775226107.444757,16:21:47.444
7,1775226107.4477787,16:21:47.447
8,1775226107.462059,16:21:47.462
9,1775226107.4649992,16:21:47.464
10,1775226107.478118,16:21:47.478
11,1775226107.4810865,16:21:47.481
12,1775226107.4932528,16:21:47.493
13,1775226107.5102882,16:21:47.510
14,1775226107.5153298,16:21:47.515
15,1775226107.5423195,16:21:47.542
16,1775226107.5477853,16:21:47.547
17,1775226107.5559163,16:21:47.555
18,1775226107.558972,16:21:47.558
19,1775226107.575122,16:21:47.575
20,1775226107.5781207,16:21:47.578
21,1775226107.5882454,16:21:47.588
22,1775226107.591279,16:21:47.591
23,1775226107.604983,16:21:47.604
24,1775226107.6079724,16:21:47.607
25,1775226107.6213372,16:21:47.621
26,1775226107.651437,16:21:47.651
27,1775226107.6588001,16:21:47.658
28,1775226107.6702836,16:21:47.670
29,1775226107.6738217,16:21:47.673
30,1775226107.6850843,16:21:47.685
31,1775226107.6880708,16:21:47.688
32,1775226107.7010658,16:21:47.701
33,1775226107.7040644,16:21:47.704
34,1775226107.717854,16:21:47.717
35,1775226107.7210536,16:21:47.721
36,1775226107.7344449,16:21:47.734
37,1775226107.7465181,16:21:47.746
38,1775226107.7635143,16:21:47.763
39,1775226107.767498,16:21:47.767
40,1775226107.7817001,16:21:47.781
41,1775226107.7846615,16:21:47.784
42,1775226107.7965333,16:21:47.796
43,1775226107.7995362,16:21:47.799
44,1775226107.8136365,16:21:47.813
45,1775226107.8166625,16:21:47.816
46,1775226107.8291209,16:21:47.829
47,1775226107.8321645,16:21:47.832
48,1775226107.846221,16:21:47.846
49,1775226107.8582203,16:21:47.858
50,1775226107.873739,16:21:47.873
51,1775226107.8792946,16:21:47.879
52,1775226107.892376,16:21:47.892
53,1775226107.9107347,16:21:47.910
54,1775226107.9137592,16:21:47.913
55,1775226107.9249587,16:21:47.924
56,1775226107.9289558,16:21:47.928
57,1775226107.941356,16:21:47.941
58,1775226107.9443502,16:21:47.944
59,1775226107.957349,16:21:47.957
60,1775226107.9881544,16:21:47.988
61,1775226107.9921856,16:21:47.992
62,1775226108.0056214,16:21:48.005
63,1775226108.0076127,16:21:48.007
64,1775226108.0213099,16:21:48.021
65,1775226108.0380957,16:21:48.038
66,1775226108.0411065,16:21:48.041
67,1775226108.0536053,16:21:48.053
68,1775226108.0566037,16:21:48.056
69,1775226108.0804548,16:21:48.080
70,1775226108.0906577,16:21:48.090
71,1775226108.1007833,16:21:48.100
72,1775226108.104781,16:21:48.104
73,1775226108.1179526,16:21:48.117
74,1775226108.1209168,16:21:48.120
75,1775226108.1329355,16:21:48.132
76,1775226108.1358824,16:21:48.135
77,1775226108.150355,16:21:48.150
78,1775226108.1533737,16:21:48.153
79,1775226108.1654928,16:21:48.165
80,1775226108.18505,16:21:48.185
81,1775226108.2024956,16:21:48.202
82,1775226108.212792,16:21:48.212
83,1775226108.2157803,16:21:48.215
84,1775226108.2294464,16:21:48.229
85,1775226108.2324905,16:21:48.232
86,1775226108.2460902,16:21:48.246
87,1775226108.2491055,16:21:48.249
88,1775226108.261755,16:21:48.261
89,1775226108.2647204,16:21:48.264
90,1775226108.2787504,16:21:48.278
91,1775226108.2837727,16:21:48.283
92,1775226108.2960613,16:21:48.296
93,1775226108.3090625,16:21:48.309
94,1775226108.3120658,16:21:48.312
95,1775226108.326227,16:21:48.326
96,1775226108.327847,16:21:48.327
97,1775226108.3413818,16:21:48.341
98,1775226108.344061,16:21:48.344
99,1775226108.356435,16:21:48.356
100,1775226108.359484,16:21:48.359
101,1775226108.3731358,16:21:48.373
102,1775226108.3761387,16:21:48.376
103,1775226108.3886862,16:21:48.388
104,1775226108.4091697,16:21:48.409
105,1775226108.4122734,16:21:48.412
106,1775226108.4206703,16:21:48.420
107,1775226108.4361844,16:21:48.436
108,1775226108.4392476,16:21:48.439
109,1775226108.4532983,16:21:48.453
110,1775226108.455338,16:21:48.455
111,1775226108.4695313,16:21:48.469
112,1775226108.4725194,16:21:48.472
113,1775226108.485686,16:21:48.485
114,1775226108.4887502,16:21:48.488
115,1775226108.516799,16:21:48.516
116,1775226108.524782,16:21:48.524
117,1775226108.5328565,16:21:48.532
118,1775226108.5358515,16:21:48.535
119,1775226108.5489507,16:21:48.548
120,1775226108.551949,16:21:48.551
121,1775226108.564997,16:21:48.564
122,1775226108.5810764,16:21:48.581
123,1775226108.5850706,16:21:48.585
124,1775226108.5975404,16:21:48.597
125,1775226108.6005888,16:21:48.600
126,1775226108.6125472,16:21:48.612
127,1775226108.6240053,16:21:48.624
128,1775226108.6409924,16:21:48.640
129,1775226108.6450016,16:21:48.645
130,1775226108.6480315,16:21:48.648
131,1775226108.661562,16:21:48.661
132,1775226108.6636178,16:21:48.663
133,1775226108.6776404,16:21:48.677
134,1775226108.680703,16:21:48.680
135,1775226108.6932876,16:21:48.693
136,1775226108.7094529,16:21:48.709
137,1775226108.7135136,16:21:48.713
138,1775226108.7405436,16:21:48.740
139,1775226108.7515423,16:21:48.751
140,1775226108.7565432,16:21:48.756
141,1775226108.780173,16:21:48.780
142,1775226108.7893596,16:21:48.789
143,1775226108.792356,16:21:48.792
144,1775226108.8046541,16:21:48.804
145,1775226108.8075948,16:21:48.807
146,1775226108.821345,16:21:48.821
147,1775226108.8235302,16:21:48.823
148,1775226108.8405051,16:21:48.840
149,1775226108.8538964,16:21:48.853
150,1775226108.872843,16:21:48.872
151,1775226108.8824766,16:21:48.882
152,1775226108.8884327,16:21:48.888
153,1775226108.900827,16:21:48.900
154,1775226108.9038486,16:21:48.903
155,1775226108.9168503,16:21:48.916
156,1775226108.9199073,16:21:48.919
157,1775226108.9318507,16:21:48.931
158,1775226108.9368458,16:21:48.936
159,1775226108.954947,16:21:48.954
160,1775226108.9700117,16:21:48.970
161,1775226108.9826293,16:21:48.982
162,1775226108.994605,16:21:48.994
163,1775226108.9985907,16:21:48.998
164,1775226109.0134885,16:21:49.013
165,1775226109.0164583,16:21:49.016
166,1775226109.0295124,16:21:49.029
167,1775226109.0325787,16:21:49.032
168,1775226109.0458598,16:21:49.045
169,1775226109.049867,16:21:49.049
170,1775226109.0736005,16:21:49.073
171,1775226109.077607,16:21:49.077
172,1775226109.082289,16:21:49.082
173,1775226109.0936043,16:21:49.093
174,1775226109.1091876,16:21:49.109
175,1775226109.1122487,16:21:49.112
176,1775226109.12461,16:21:49.124
177,1775226109.1286292,16:21:49.128
178,1775226109.1407652,16:21:49.140
179,1775226109.1437163,16:21:49.143
180,1775226109.1570022,16:21:49.157
181,1775226109.160013,16:21:49.160
182,1775226109.1875556,16:21:49.187
183,1775226109.1925447,16:21:49.192
184,1775226109.205341,16:21:49.205
185,1775226109.2083952,16:21:49.208
186,1775226109.220344,16:21:49.220
187,1775226109.2234118,16:21:49.223
188,1775226109.2376533,16:21:49.237
189,1775226109.253826,16:21:49.253
190,1775226109.2568233,16:21:49.256
191,1775226109.2684858,16:21:49.268
192,1775226109.296416,16:21:49.296
193,1775226109.3004344,16:21:49.300
194,1775226109.303481,16:21:49.303
195,1775226109.3165267,16:21:49.316
196,1775226109.3205228,16:21:49.320
197,1775226109.3326895,16:21:49.332
198,1775226109.3366938,16:21:49.336
199,1775226109.3486488,16:21:49.348
200,1775226109.3526986,16:21:49.352
201,1775226109.3656025,16:21:49.365
202,1775226109.3882592,16:21:49.388
203,1775226109.4042597,16:21:49.404
204,1775226109.412698,16:21:49.412
205,1775226109.4147189,16:21:49.414
206,1775226109.4298954,16:21:49.429
207,1775226109.4329364,16:21:49.432
208,1775226109.4454522,16:21:49.445
209,1775226109.448502,16:21:49.448
210,1775226109.4615626,16:21:49.461
211,1775226109.4645712,16:21:49.464
212,1775226109.4781334,16:21:49.478
213,1775226109.4812014,16:21:49.481
214,1775226109.4991493,16:21:49.499
215,1775226109.51617,16:21:49.516
216,1775226109.5246618,16:21:49.524
217,1775226109.5266542,16:21:49.526
218,1775226109.5401025,16:21:49.540
219,1775226109.5431633,16:21:49.543
220,1775226109.5565958,16:21:49.556
221,1775226109.5595334,16:21:49.559
222,1775226109.5736136,16:21:49.573
223,1775226109.5766003,16:21:49.576
224,1775226109.5887542,16:21:49.588
225,1775226109.59478,16:21:49.594
226,1775226109.6088798,16:21:49.608
227,1775226109.623891,16:21:49.623
228,1775226109.637602,16:21:49.637
229,1775226109.6536505,16:21:49.653
230,1775226109.6566541,16:21:49.656
231,1775226109.6698167,16:21:49.669
232,1775226109.6728594,16:21:49.672
