Frame_Index,System_Time_s,Human_Readable
0,1775226290.7302995,16:24:50.730
1,1775226290.7376614,16:24:50.737
2,1775226290.740706,16:24:50.740
3,1775226290.7538328,16:24:50.753
4,1775226290.7568786,16:24:50.756
5,1775226290.769947,16:24:50.769
6,1775226290.7730136,16:24:50.773
7,1775226290.7861435,16:24:50.786
8,1775226290.7915611,16:24:50.791
9,1775226290.8022282,16:24:50.802
10,1775226290.808276,16:24:50.808
11,1775226290.8289797,16:24:50.828
12,1775226290.8419387,16:24:50.841
13,1775226290.8579793,16:24:50.857
14,1775226290.874166,16:24:50.874
15,1775226290.880299,16:24:50.880
16,1775226290.909644,16:24:50.909
17,1775226290.9137025,16:24:50.913
18,1775226290.9207416,16:24:50.920
19,1775226290.933967,16:24:50.933
20,1775226290.954924,16:24:50.954
21,1775226290.9619322,16:24:50.961
22,1775226290.989998,16:24:50.989
23,1775226290.9951243,16:24:50.995
24,1775226290.9981163,16:24:50.998
25,1775226291.0098395,16:24:51.009
26,1775226291.0134811,16:24:51.013
27,1775226291.0273619,16:24:51.027
28,1775226291.0313845,16:24:51.031
29,1775226291.0627463,16:24:51.062
30,1775226291.091041,16:24:51.091
31,1775226291.1054752,16:24:51.105
32,1775226291.1079445,16:24:51.107
33,1775226291.1206694,16:24:51.120
34,1775226291.1236675,16:24:51.123
35,1775226291.139359,16:24:51.139
36,1775226291.144363,16:24:51.144
37,1775226291.1624026,16:24:51.162
38,1775226291.1742318,16:24:51.174
39,1775226291.1802795,16:24:51.180
40,1775226291.2105336,16:24:51.210
41,1775226291.2175992,16:24:51.217
42,1775226291.2391465,16:24:51.239
43,1775226291.254289,16:24:51.254
44,1775226291.2593381,16:24:51.259
45,1775226291.2654614,16:24:51.265
46,1775226291.287776,16:24:51.287
47,1775226291.289736,16:24:51.289
48,1775226291.296912,16:24:51.296
49,1775226291.299865,16:24:51.299
50,1775226291.3133442,16:24:51.313
51,1775226291.3163393,16:24:51.316
52,1775226291.328976,16:24:51.328
53,1775226291.3319166,16:24:51.331
54,1775226291.3450544,16:24:51.345
55,1775226291.362431,16:24:51.362
56,1775226291.3804746,16:24:51.380
57,1775226291.3912673,16:24:51.391
58,1775226291.396268,16:24:51.396
59,1775226291.4092622,16:24:51.409
60,1775226291.41226,16:24:51.412
61,1775226291.4251952,16:24:51.425
62,1775226291.4288192,16:24:51.428
63,1775226291.4412901,16:24:51.441
64,1775226291.4443398,16:24:51.444
65,1775226291.4580052,16:24:51.458
66,1775226291.4610043,16:24:51.461
67,1775226291.4789984,16:24:51.478
68,1775226291.496052,16:24:51.496
69,1775226291.5052514,16:24:51.505
70,1775226291.5081954,16:24:51.508
71,1775226291.5215178,16:24:51.521
72,1775226291.5245726,16:24:51.524
73,1775226291.5377216,16:24:51.537
74,1775226291.5427158,16:24:51.542
75,1775226291.554045,16:24:51.554
76,1775226291.5569983,16:24:51.556
77,1775226291.5703974,16:24:51.570
78,1775226291.5763476,16:24:51.576
79,1775226291.5883858,16:24:51.588
80,1775226291.6086998,16:24:51.608
81,1775226291.6257257,16:24:51.625
82,1775226291.6413412,16:24:51.641
83,1775226291.6490562,16:24:51.649
84,1775226291.652033,16:24:51.652
85,1775226291.6655304,16:24:51.665
86,1775226291.66953,16:24:51.669
87,1775226291.683161,16:24:51.683
88,1775226291.6881588,16:24:51.688
89,1775226291.7019322,16:24:51.701
90,1775226291.7232363,16:24:51.723
91,1775226291.7272608,16:24:51.727
92,1775226291.7330432,16:24:51.733
93,1775226291.750771,16:24:51.750
94,1775226291.7612393,16:24:51.761
95,1775226291.764327,16:24:51.764
96,1775226291.7767928,16:24:51.776
97,1775226291.7787824,16:24:51.778
98,1775226291.7923124,16:24:51.792
99,1775226291.8190923,16:24:51.819
100,1775226291.8253963,16:24:51.825
101,1775226291.8482473,16:24:51.848
102,1775226291.8572009,16:24:51.857
103,1775226291.8602035,16:24:51.860
104,1775226291.8736343,16:24:51.873
105,1775226291.87658,16:24:51.876
106,1775226291.8891454,16:24:51.889
107,1775226291.9057455,16:24:51.905
108,1775226291.9191053,16:24:51.919
109,1775226291.9391725,16:24:51.939
110,1775226291.9693286,16:24:51.969
111,1775226291.9723723,16:24:51.972
112,1775226291.9851508,16:24:51.985
113,1775226291.9881682,16:24:51.988
114,1775226292.0020483,16:24:52.002
115,1775226292.005117,16:24:52.005
116,1775226292.019168,16:24:52.019
117,1775226292.052426,16:24:52.052
118,1775226292.082662,16:24:52.082
119,1775226292.087612,16:24:52.087
120,1775226292.0975502,16:24:52.097
121,1775226292.1005476,16:24:52.100
122,1775226292.1136944,16:24:52.113
123,1775226292.120686,16:24:52.120
124,1775226292.1391168,16:24:52.139
125,1775226292.1511161,16:24:52.151
126,1775226292.1619911,16:24:52.161
127,1775226292.1772473,16:24:52.177
128,1775226292.181244,16:24:52.181
129,1775226292.1942456,16:24:52.194
130,1775226292.197414,16:24:52.197
131,1775226292.2094147,16:24:52.209
132,1775226292.2124007,16:24:52.212
133,1775226292.2258193,16:24:52.225
134,1775226292.2294817,16:24:52.229
135,1775226292.2425,16:24:52.242
136,1775226292.2478526,16:24:52.247
137,1775226292.2588558,16:24:52.258
138,1775226292.2768705,16:24:52.276
139,1775226292.2888577,16:24:52.288
140,1775226292.305286,16:24:52.305
141,1775226292.308332,16:24:52.308
142,1775226292.3208718,16:24:52.320
143,1775226292.323821,16:24:52.323
144,1775226292.337217,16:24:52.337
145,1775226292.3402152,16:24:52.340
146,1775226292.3531718,16:24:52.353
147,1775226292.3571713,16:24:52.357
148,1775226292.3846738,16:24:52.384
149,1775226292.426405,16:24:52.426
150,1775226292.4294517,16:24:52.429
151,1775226292.4329367,16:24:52.432
152,1775226292.4359539,16:24:52.435
153,1775226292.4501302,16:24:52.450
154,1775226292.4531195,16:24:52.453
155,1775226292.4894245,16:24:52.489
156,1775226292.49238,16:24:52.492
157,1775226292.4973829,16:24:52.497
158,1775226292.5003743,16:24:52.500
159,1775226292.513699,16:24:52.513
160,1775226292.5166447,16:24:52.516
161,1775226292.5294428,16:24:52.529
162,1775226292.5329068,16:24:52.532
163,1775226292.5455537,16:24:52.545
164,1775226292.5485387,16:24:52.548
165,1775226292.5619457,16:24:52.561
166,1775226292.5808907,16:24:52.580
167,1775226292.593194,16:24:52.593
168,1775226292.5962238,16:24:52.596
169,1775226292.6096737,16:24:52.609
170,1775226292.613712,16:24:52.613
171,1775226292.625922,16:24:52.625
172,1775226292.62992,16:24:52.629
173,1775226292.641077,16:24:52.641
174,1775226292.6450837,16:24:52.645
175,1775226292.6576571,16:24:52.657
176,1775226292.661607,16:24:52.661
177,1775226292.6731322,16:24:52.673
178,1775226292.6784053,16:24:52.678
179,1775226292.6914566,16:24:52.691
180,1775226292.7094152,16:24:52.709
181,1775226292.7124045,16:24:52.712
182,1775226292.7218537,16:24:52.721
183,1775226292.7248516,16:24:52.724
184,1775226292.7377782,16:24:52.737
185,1775226292.7408404,16:24:52.740
186,1775226292.7540247,16:24:52.754
187,1775226292.7560275,16:24:52.756
188,1775226292.7696161,16:24:52.769
189,1775226292.7728558,16:24:52.772
190,1775226292.786157,16:24:52.786
191,1775226292.7896,16:24:52.789
192,1775226292.8146503,16:24:52.814
193,1775226292.8206341,16:24:52.820
194,1775226292.833485,16:24:52.833
195,1775226292.849064,16:24:52.849
196,1775226292.8531172,16:24:52.853
197,1775226292.8653758,16:24:52.865
198,1775226292.8693924,16:24:52.869
199,1775226292.8813946,16:24:52.881
200,1775226292.8843942,16:24:52.884
201,1775226292.8973548,16:24:52.897
202,1775226292.9104466,16:24:52.910
203,1775226292.9220924,16:24:52.922
204,1775226292.9286199,16:24:52.928
205,1775226292.9306152,16:24:52.930
206,1775226292.947009,16:24:52.947
207,1775226292.9500017,16:24:52.950
208,1775226292.962101,16:24:52.962
209,1775226292.9782283,16:24:52.978
210,1775226292.9812305,16:24:52.981
211,1775226292.9942756,16:24:52.994
212,1775226292.9972777,16:24:52.997
213,1775226293.015275,16:24:53.015
214,1775226293.0253282,16:24:53.025
215,1775226293.0292728,16:24:53.029
216,1775226293.0407934,16:24:53.040
217,1775226293.043841,16:24:53.043
218,1775226293.0568027,16:24:53.056
219,1775226293.0597966,16:24:53.059
220,1775226293.0737088,16:24:53.073
221,1775226293.0767133,16:24:53.076
222,1775226293.090119,16:24:53.090
223,1775226293.10517,16:24:53.105
224,1775226293.1091251,16:24:53.109
225,1775226293.1361413,16:24:53.136
226,1775226293.1401556,16:24:53.140
227,1775226293.154226,16:24:53.154
228,1775226293.1572785,16:24:53.157
229,1775226293.169467,16:24:53.169
230,1775226293.1724498,16:24:53.172
231,1775226293.1852536,16:24:53.185
