Frame_Index,System_Time_s,Human_Readable
0,1775226327.7551017,16:25:27.755
1,1775226327.7640955,16:25:27.764
2,1775226327.7681222,16:25:27.768
3,1775226327.7797346,16:25:27.779
4,1775226327.7964966,16:25:27.796
5,1775226327.8004951,16:25:27.800
6,1775226327.8121233,16:25:27.812
7,1775226327.8151186,16:25:27.815
8,1775226327.830074,16:25:27.830
9,1775226327.8567462,16:25:27.856
10,1775226327.862168,16:25:27.862
11,1775226327.86533,16:25:27.865
12,1775226327.8750913,16:25:27.875
13,1775226327.8787382,16:25:27.878
14,1775226327.892801,16:25:27.892
15,1775226327.8958366,16:25:27.895
16,1775226327.9076357,16:25:27.907
17,1775226327.9244323,16:25:27.924
18,1775226327.927382,16:25:27.927
19,1775226327.940379,16:25:27.940
20,1775226327.9717355,16:25:27.971
21,1775226327.9768481,16:25:27.976
22,1775226328.0008755,16:25:28.000
23,1775226328.0043983,16:25:28.004
24,1775226328.007434,16:25:28.007
25,1775226328.0327022,16:25:28.032
26,1775226328.0389905,16:25:28.038
27,1775226328.0532553,16:25:28.053
28,1775226328.0752559,16:25:28.075
29,1775226328.100252,16:25:28.100
30,1775226328.1037815,16:25:28.103
31,1775226328.1157782,16:25:28.115
32,1775226328.1173737,16:25:28.117
33,1775226328.132112,16:25:28.132
34,1775226328.1360636,16:25:28.136
35,1775226328.147609,16:25:28.147
36,1775226328.1536071,16:25:28.153
37,1775226328.1725066,16:25:28.172
38,1775226328.1972237,16:25:28.197
39,1775226328.2012296,16:25:28.201
40,1775226328.2293236,16:25:28.229
41,1775226328.2443242,16:25:28.244
42,1775226328.247319,16:25:28.247
43,1775226328.2602057,16:25:28.260
44,1775226328.2652025,16:25:28.265
45,1775226328.2771916,16:25:28.277
46,1775226328.2952516,16:25:28.295
47,1775226328.3078332,16:25:28.307
48,1775226328.3245983,16:25:28.324
49,1775226328.3285437,16:25:28.328
50,1775226328.3401542,16:25:28.340
51,1775226328.3442068,16:25:28.344
52,1775226328.3563523,16:25:28.356
53,1775226328.3604066,16:25:28.360
54,1775226328.373783,16:25:28.373
55,1775226328.3777843,16:25:28.377
56,1775226328.4037135,16:25:28.403
57,1775226328.4119763,16:25:28.411
58,1775226328.4199777,16:25:28.419
59,1775226328.423011,16:25:28.423
60,1775226328.4368622,16:25:28.436
61,1775226328.4398954,16:25:28.439
62,1775226328.453074,16:25:28.453
63,1775226328.470308,16:25:28.470
64,1775226328.4732883,16:25:28.473
65,1775226328.4858117,16:25:28.485
66,1775226328.5068579,16:25:28.506
67,1775226328.5208669,16:25:28.520
68,1775226328.5551105,16:25:28.555
69,1775226328.5610683,16:25:28.561
70,1775226328.565065,16:25:28.565
71,1775226328.580801,16:25:28.580
72,1775226328.5979638,16:25:28.597
73,1775226328.610891,16:25:28.610
74,1775226328.6314955,16:25:28.631
75,1775226328.63846,16:25:28.638
76,1775226328.6665006,16:25:28.666
77,1775226328.671454,16:25:28.671
78,1775226328.6754975,16:25:28.675
79,1775226328.6784818,16:25:28.678
80,1775226328.6918054,16:25:28.691
81,1775226328.6948478,16:25:28.694
82,1775226328.7183862,16:25:28.718
83,1775226328.7245948,16:25:28.724
84,1775226328.7395635,16:25:28.739
85,1775226328.7415679,16:25:28.741
86,1775226328.7546184,16:25:28.754
87,1775226328.7576337,16:25:28.757
88,1775226328.7714584,16:25:28.771
89,1775226328.7738614,16:25:28.773
90,1775226328.7867076,16:25:28.786
91,1775226328.7900188,16:25:28.790
92,1775226328.8037672,16:25:28.803
93,1775226328.8073108,16:25:28.807
94,1775226328.8282824,16:25:28.828
95,1775226328.8312905,16:25:28.831
96,1775226328.836306,16:25:28.836
97,1775226328.8383622,16:25:28.838
98,1775226328.852038,16:25:28.852
99,1775226328.8688314,16:25:28.868
100,1775226328.8720088,16:25:28.872
101,1775226328.8842049,16:25:28.884
102,1775226328.8886645,16:25:28.888
103,1775226328.8997905,16:25:28.899
104,1775226328.9038582,16:25:28.903
105,1775226328.9158323,16:25:28.915
106,1775226328.920177,16:25:28.920
107,1775226328.9415243,16:25:28.941
108,1775226328.9475265,16:25:28.947
109,1775226328.9505172,16:25:28.950
110,1775226328.9644616,16:25:28.964
111,1775226328.9684563,16:25:28.968
112,1775226328.9800487,16:25:28.980
113,1775226328.9966528,16:25:28.996
114,1775226329.000134,16:25:29.000
115,1775226329.0126653,16:25:29.012
116,1775226329.0167236,16:25:29.016
117,1775226329.0286608,16:25:29.028
118,1775226329.032725,16:25:29.032
119,1775226329.0462365,16:25:29.046
120,1775226329.0632327,16:25:29.063
121,1775226329.0764952,16:25:29.076
122,1775226329.0795298,16:25:29.079
123,1775226329.0920284,16:25:29.092
124,1775226329.0960813,16:25:29.096
125,1775226329.1082368,16:25:29.108
126,1775226329.112231,16:25:29.112
127,1775226329.1243393,16:25:29.124
128,1775226329.1406608,16:25:29.140
129,1775226329.1683536,16:25:29.168
130,1775226329.1745703,16:25:29.174
131,1775226329.1785634,16:25:29.178
132,1775226329.1882834,16:25:29.188
133,1775226329.1902726,16:25:29.190
134,1775226329.2041798,16:25:29.204
135,1775226329.2078605,16:25:29.207
136,1775226329.219652,16:25:29.219
137,1775226329.239097,16:25:29.239
138,1775226329.2523427,16:25:29.252
139,1775226329.2789047,16:25:29.278
140,1775226329.2865238,16:25:29.286
141,1775226329.3029988,16:25:29.302
