Frame_Index,System_Time_s,Human_Readable
0,1775226152.7159908,16:22:32.715
1,1775226152.730618,16:22:32.730
2,1775226152.7346687,16:22:32.734
3,1775226152.7472944,16:22:32.747
4,1775226152.7512376,16:22:32.751
5,1775226152.7634864,16:22:32.763
6,1775226152.7660556,16:22:32.766
7,1775226152.7786515,16:22:32.778
8,1775226152.782689,16:22:32.782
9,1775226152.8095133,16:22:32.809
10,1775226152.8135076,16:22:32.813
11,1775226152.8272183,16:22:32.827
12,1775226152.8443081,16:22:32.844
13,1775226152.8473487,16:22:32.847
14,1775226152.8585827,16:22:32.858
15,1775226152.8890877,16:22:32.889
16,1775226152.9051187,16:22:32.905
17,1775226152.9141102,16:22:32.914
18,1775226152.9223444,16:22:32.922
19,1775226152.924333,16:22:32.924
20,1775226152.938717,16:22:32.938
21,1775226152.9407613,16:22:32.940
22,1775226152.9547307,16:22:32.954
23,1775226152.97035,16:22:32.970
24,1775226152.9723978,16:22:32.972
25,1775226152.9864783,16:22:32.986
26,1775226152.9895425,16:22:32.989
27,1775226153.0115414,16:22:33.011
28,1775226153.0174932,16:22:33.017
29,1775226153.021494,16:22:33.021
30,1775226153.0334933,16:22:33.033
31,1775226153.0369182,16:22:33.036
32,1775226153.0499191,16:22:33.049
33,1775226153.0529368,16:22:33.052
34,1775226153.066309,16:22:33.066
35,1775226153.0706108,16:22:33.070
36,1775226153.0825624,16:22:33.082
37,1775226153.0995758,16:22:33.099
38,1775226153.10356,16:22:33.103
39,1775226153.1225107,16:22:33.122
40,1775226153.1375134,16:22:33.137
41,1775226153.1473827,16:22:33.147
42,1775226153.1504266,16:22:33.150
43,1775226153.1629195,16:22:33.162
44,1775226153.166485,16:22:33.166
45,1775226153.1793585,16:22:33.179
46,1775226153.1833072,16:22:33.183
47,1775226153.1954427,16:22:33.195
48,1775226153.1994498,16:22:33.199
49,1775226153.2115064,16:22:33.211
50,1775226153.2175221,16:22:33.217
51,1775226153.238058,16:22:33.238
52,1775226153.2470753,16:22:33.247
53,1775226153.2601135,16:22:33.260
54,1775226153.2641494,16:22:33.264
55,1775226153.2747297,16:22:33.274
56,1775226153.2777805,16:22:33.277
57,1775226153.2913704,16:22:33.291
58,1775226153.2957883,16:22:33.295
59,1775226153.3062909,16:22:33.306
60,1775226153.3401663,16:22:33.340
61,1775226153.3582942,16:22:33.358
62,1775226153.370701,16:22:33.370
63,1775226153.3747423,16:22:33.374
64,1775226153.3877695,16:22:33.387
65,1775226153.3920326,16:22:33.392
66,1775226153.4036474,16:22:33.403
67,1775226153.4066622,16:22:33.406
68,1775226153.4186785,16:22:33.418
69,1775226153.4222589,16:22:33.422
70,1775226153.4366286,16:22:33.436
71,1775226153.4406555,16:22:33.440
72,1775226153.4647315,16:22:33.464
73,1775226153.4700875,16:22:33.470
74,1775226153.4821818,16:22:33.482
75,1775226153.4861894,16:22:33.486
76,1775226153.4983587,16:22:33.498
77,1775226153.515481,16:22:33.515
78,1775226153.519478,16:22:33.519
79,1775226153.5311356,16:22:33.531
80,1775226153.5341685,16:22:33.534
81,1775226153.5491781,16:22:33.549
82,1775226153.580519,16:22:33.580
83,1775226153.586511,16:22:33.586
84,1775226153.5959399,16:22:33.595
85,1775226153.598932,16:22:33.598
86,1775226153.6112766,16:22:33.611
87,1775226153.615269,16:22:33.615
88,1775226153.6266222,16:22:33.626
89,1775226153.6427221,16:22:33.642
90,1775226153.6467707,16:22:33.646
91,1775226153.6587405,16:22:33.658
92,1775226153.6808033,16:22:33.680
93,1775226153.6907852,16:22:33.690
94,1775226153.6937976,16:22:33.693
95,1775226153.7067723,16:22:33.706
96,1775226153.709773,16:22:33.709
97,1775226153.7225802,16:22:33.722
98,1775226153.7256372,16:22:33.725
99,1775226153.737481,16:22:33.737
100,1775226153.7415068,16:22:33.741
101,1775226153.7546852,16:22:33.754
102,1775226153.7719412,16:22:33.771
103,1775226153.7849052,16:22:33.784
104,1775226153.7876227,16:22:33.787
105,1775226153.790447,16:22:33.790
106,1775226153.8018413,16:22:33.801
107,1775226153.8047614,16:22:33.804
108,1775226153.8175166,16:22:33.817
109,1775226153.8190696,16:22:33.819
110,1775226153.8330846,16:22:33.833
111,1775226153.8361006,16:22:33.836
112,1775226153.850101,16:22:33.850
113,1775226153.8521006,16:22:33.852
114,1775226153.8654547,16:22:33.865
115,1775226153.868074,16:22:33.868
116,1775226153.8827095,16:22:33.882
117,1775226153.89471,16:22:33.894
118,1775226153.8987093,16:22:33.898
119,1775226153.914085,16:22:33.914
120,1775226153.916077,16:22:33.916
121,1775226153.9300802,16:22:33.930
122,1775226153.9320755,16:22:33.932
123,1775226153.9460306,16:22:33.946
124,1775226153.9500718,16:22:33.950
125,1775226153.963083,16:22:33.963
126,1775226153.9661329,16:22:33.966
127,1775226153.978171,16:22:33.978
128,1775226153.9831643,16:22:33.983
129,1775226153.9970253,16:22:33.997
130,1775226154.0140142,16:22:34.014
131,1775226154.0273314,16:22:34.027
132,1775226154.0453832,16:22:34.045
133,1775226154.0483966,16:22:34.048
134,1775226154.0594037,16:22:34.059
135,1775226154.0626402,16:22:34.062
136,1775226154.0753489,16:22:34.075
137,1775226154.0788944,16:22:34.078
138,1775226154.0909028,16:22:34.090
139,1775226154.0958412,16:22:34.095
140,1775226154.1090147,16:22:34.109
141,1775226154.126014,16:22:34.126
142,1775226154.1380212,16:22:34.138
143,1775226154.1420717,16:22:34.142
144,1775226154.1550364,16:22:34.155
145,1775226154.1570961,16:22:34.157
146,1775226154.171601,16:22:34.171
147,1775226154.187589,16:22:34.187
148,1775226154.1905956,16:22:34.190
149,1775226154.2030947,16:22:34.203
150,1775226154.2075021,16:22:34.207
151,1775226154.2225454,16:22:34.222
152,1775226154.2315483,16:22:34.231
153,1775226154.2346153,16:22:34.234
154,1775226154.2505946,16:22:34.250
