Frame_Index,System_Time_s,Human_Readable
0,1775225782.3863358,16:16:22.386
1,1775225782.3905637,16:16:22.390
2,1775225782.4075634,16:16:22.407
3,1775225782.4096909,16:16:22.409
4,1775225782.422753,16:16:22.422
5,1775225782.4289439,16:16:22.428
6,1775225782.4509811,16:16:22.450
7,1775225782.4562292,16:16:22.456
8,1775225782.45823,16:16:22.458
9,1775225782.4708307,16:16:22.470
10,1775225782.4738247,16:16:22.473
11,1775225782.4871945,16:16:22.487
12,1775225782.4897306,16:16:22.489
13,1775225782.5028841,16:16:22.502
14,1775225782.5068734,16:16:22.506
15,1775225782.5190952,16:16:22.519
16,1775225782.5221124,16:16:22.522
17,1775225782.5367398,16:16:22.536
18,1775225782.5636883,16:16:22.563
19,1775225782.5669258,16:16:22.566
20,1775225782.5702567,16:16:22.570
21,1775225782.5832527,16:16:22.583
22,1775225782.587259,16:16:22.587
23,1775225782.6003587,16:16:22.600
24,1775225782.603366,16:16:22.603
25,1775225782.6153667,16:16:22.615
26,1775225782.6193843,16:16:22.619
27,1775225782.630925,16:16:22.630
28,1775225782.6349883,16:16:22.634
29,1775225782.648587,16:16:22.648
30,1775225782.6526062,16:16:22.652
31,1775225782.6821918,16:16:22.682
32,1775225782.6842575,16:16:22.684
33,1775225782.6949158,16:16:22.694
34,1775225782.6991684,16:16:22.699
35,1775225782.7108727,16:16:22.710
36,1775225782.7140794,16:16:22.714
37,1775225782.7277503,16:16:22.727
38,1775225782.730779,16:16:22.730
39,1775225782.743555,16:16:22.743
40,1775225782.7465055,16:16:22.746
41,1775225782.7685206,16:16:22.768
42,1775225782.7862515,16:16:22.786
43,1775225782.792256,16:16:22.792
44,1775225782.8088934,16:16:22.808
45,1775225782.8128376,16:16:22.812
46,1775225782.824363,16:16:22.824
47,1775225782.8288774,16:16:22.828
48,1775225782.8394794,16:16:22.839
49,1775225782.8424692,16:16:22.842
50,1775225782.8559005,16:16:22.855
51,1775225782.8599405,16:16:22.859
52,1775225782.8809977,16:16:22.880
53,1775225782.8970528,16:16:22.897
54,1775225782.9030597,16:16:22.903
55,1775225782.9060924,16:16:22.906
56,1775225782.9207556,16:16:22.920
57,1775225782.9237976,16:16:22.923
58,1775225782.9374158,16:16:22.937
59,1775225782.952412,16:16:22.952
60,1775225782.9554124,16:16:22.955
61,1775225782.9677975,16:16:22.967
62,1775225782.9708214,16:16:22.970
63,1775225782.9888084,16:16:22.988
64,1775225783.0013027,16:16:23.001
65,1775225783.015466,16:16:23.015
66,1775225783.0170143,16:16:23.017
67,1775225783.0308776,16:16:23.030
68,1775225783.033401,16:16:23.033
69,1775225783.0466554,16:16:23.046
70,1775225783.049651,16:16:23.049
71,1775225783.0628211,16:16:23.062
72,1775225783.0791006,16:16:23.079
73,1775225783.0811033,16:16:23.081
74,1775225783.1012187,16:16:23.101
75,1775225783.1122184,16:16:23.112
76,1775225783.1146145,16:16:23.114
77,1775225783.126706,16:16:23.126
78,1775225783.128785,16:16:23.128
79,1775225783.1438196,16:16:23.143
80,1775225783.1468205,16:16:23.146
81,1775225783.1594415,16:16:23.159
82,1775225783.1623943,16:16:23.162
83,1775225783.1765335,16:16:23.176
84,1775225783.1795197,16:16:23.179
85,1775225783.192486,16:16:23.192
86,1775225783.1964812,16:16:23.196
87,1775225783.2235556,16:16:23.223
88,1775225783.2324538,16:16:23.232
89,1775225783.2395458,16:16:23.239
90,1775225783.2435737,16:16:23.243
91,1775225783.2560098,16:16:23.256
92,1775225783.2590218,16:16:23.259
93,1775225783.272516,16:16:23.272
94,1775225783.2755206,16:16:23.275
95,1775225783.289745,16:16:23.289
96,1775225783.2937436,16:16:23.293
97,1775225783.314251,16:16:23.314
98,1775225783.3233156,16:16:23.323
99,1775225783.3371303,16:16:23.337
100,1775225783.3517432,16:16:23.351
101,1775225783.3557382,16:16:23.355
102,1775225783.3676817,16:16:23.367
103,1775225783.3716755,16:16:23.371
104,1775225783.3846836,16:16:23.384
105,1775225783.3886204,16:16:23.388
106,1775225783.400661,16:16:23.400
107,1775225783.4232385,16:16:23.423
108,1775225783.4333544,16:16:23.433
109,1775225783.447421,16:16:23.447
110,1775225783.450436,16:16:23.450
111,1775225783.4640503,16:16:23.464
112,1775225783.47974,16:16:23.479
113,1775225783.482738,16:16:23.482
114,1775225783.496841,16:16:23.496
115,1775225783.4998877,16:16:23.499
116,1775225783.512796,16:16:23.512
117,1775225783.5157409,16:16:23.515
118,1775225783.5364003,16:16:23.536
119,1775225783.5543685,16:16:23.554
120,1775225783.5606785,16:16:23.560
121,1775225783.5636673,16:16:23.563
122,1775225783.5756974,16:16:23.575
123,1775225783.5787187,16:16:23.578
124,1775225783.5924985,16:16:23.592
125,1775225783.5964913,16:16:23.596
126,1775225783.607184,16:16:23.607
127,1775225783.624523,16:16:23.624
128,1775225783.651086,16:16:23.651
129,1775225783.6550343,16:16:23.655
130,1775225783.6580307,16:16:23.658
131,1775225783.6723316,16:16:23.672
132,1775225783.675313,16:16:23.675
133,1775225783.6887767,16:16:23.688
134,1775225783.6917725,16:16:23.691
135,1775225783.704848,16:16:23.704
136,1775225783.707842,16:16:23.707
137,1775225783.7208664,16:16:23.720
138,1775225783.7248285,16:16:23.724
139,1775225783.7358193,16:16:23.735
140,1775225783.7667875,16:16:23.766
141,1775225783.7697809,16:16:23.769
142,1775225783.7843661,16:16:23.784
143,1775225783.788409,16:16:23.788
144,1775225783.7997563,16:16:23.799
145,1775225783.8027544,16:16:23.802
146,1775225783.8166988,16:16:23.816
147,1775225783.8207052,16:16:23.820
148,1775225783.8318317,16:16:23.831
149,1775225783.8353915,16:16:23.835
150,1775225783.8499968,16:16:23.849
151,1775225783.8834732,16:16:23.883
152,1775225783.8973863,16:16:23.897
153,1775225783.921889,16:16:23.921
154,1775225783.9291494,16:16:23.929
155,1775225783.9322195,16:16:23.932
156,1775225783.944338,16:16:23.944
157,1775225783.9486825,16:16:23.948
158,1775225783.9649415,16:16:23.964
159,1775225783.9870176,16:16:23.987
160,1775225783.9919846,16:16:23.991
161,1775225783.9977198,16:16:23.997
162,1775225784.0268629,16:16:24.026
163,1775225784.0395956,16:16:24.039
164,1775225784.0435882,16:16:24.043
165,1775225784.0560331,16:16:24.056
