Frame_Index,System_Time_s,Human_Readable
0,1775226031.8388016,16:20:31.838
1,1775226031.847407,16:20:31.847
2,1775226031.8710546,16:20:31.871
3,1775226031.875088,16:20:31.875
4,1775226031.887921,16:20:31.887
5,1775226031.8899305,16:20:31.889
6,1775226031.9037638,16:20:31.903
7,1775226031.9067745,16:20:31.906
8,1775226031.9211044,16:20:31.921
9,1775226031.9454408,16:20:31.945
10,1775226031.9505935,16:20:31.950
11,1775226031.9535878,16:20:31.953
12,1775226031.9687867,16:20:31.968
13,1775226031.9717867,16:20:31.971
14,1775226031.984204,16:20:31.984
15,1775226031.987225,16:20:31.987
16,1775226032.0002642,16:20:32.000
17,1775226032.0022824,16:20:32.002
18,1775226032.017014,16:20:32.017
19,1775226032.0190349,16:20:32.019
20,1775226032.0327346,16:20:32.032
21,1775226032.0357363,16:20:32.035
22,1775226032.0527332,16:20:32.052
23,1775226032.064056,16:20:32.064
24,1775226032.0838602,16:20:32.083
25,1775226032.0878632,16:20:32.087
26,1775226032.0963845,16:20:32.096
27,1775226032.0993946,16:20:32.099
28,1775226032.1133876,16:20:32.113
29,1775226032.11641,16:20:32.116
30,1775226032.128287,16:20:32.128
31,1775226032.1303236,16:20:32.130
32,1775226032.1451938,16:20:32.145
33,1775226032.1487205,16:20:32.148
34,1775226032.1671994,16:20:32.167
35,1775226032.177212,16:20:32.177
36,1775226032.1936996,16:20:32.193
37,1775226032.1967483,16:20:32.196
38,1775226032.2087111,16:20:32.208
39,1775226032.212747,16:20:32.212
40,1775226032.2256901,16:20:32.225
41,1775226032.2286248,16:20:32.228
42,1775226032.2409232,16:20:32.240
43,1775226032.2434602,16:20:32.243
44,1775226032.2569404,16:20:32.256
45,1775226032.259954,16:20:32.259
46,1775226032.2891946,16:20:32.289
47,1775226032.2942176,16:20:32.294
48,1775226032.305195,16:20:32.305
49,1775226032.3081865,16:20:32.308
50,1775226032.321595,16:20:32.321
51,1775226032.337904,16:20:32.337
52,1775226032.3409123,16:20:32.340
53,1775226032.3540516,16:20:32.354
54,1775226032.3571134,16:20:32.357
55,1775226032.3770704,16:20:32.377
56,1775226032.3911176,16:20:32.391
57,1775226032.40103,16:20:32.401
58,1775226032.4040203,16:20:32.404
59,1775226032.4168077,16:20:32.416
