Frame_Index,System_Time_s,Human_Readable
0,1775225813.773112,16:16:53.773
1,1775225813.7971482,16:16:53.797
2,1775225813.8092153,16:16:53.809
3,1775225813.8238642,16:16:53.823
4,1775225813.8278863,16:16:53.827
5,1775225813.8405645,16:16:53.840
6,1775225813.8435695,16:16:53.843
7,1775225813.8568802,16:16:53.856
8,1775225813.860912,16:16:53.860
9,1775225813.873262,16:16:53.873
10,1775225813.879282,16:16:53.879
11,1775225813.903614,16:16:53.903
12,1775225813.9133189,16:16:53.913
13,1775225813.92136,16:16:53.921
14,1775225813.9244041,16:16:53.924
15,1775225813.9376132,16:16:53.937
16,1775225813.9416075,16:16:53.941
17,1775225813.9536507,16:16:53.953
18,1775225813.9571316,16:16:53.957
19,1775225813.969502,16:16:53.969
20,1775225813.9735096,16:16:53.973
21,1775225813.9845605,16:16:53.984
22,1775225813.9901168,16:16:53.990
23,1775225814.017124,16:16:54.017
24,1775225814.022125,16:16:54.022
25,1775225814.0326533,16:16:54.032
26,1775225814.0366528,16:16:54.036
27,1775225814.0496051,16:16:54.049
28,1775225814.0535603,16:16:54.053
29,1775225814.0653493,16:16:54.065
30,1775225814.0683584,16:16:54.068
31,1775225814.0803852,16:16:54.080
32,1775225814.0834248,16:16:54.083
33,1775225814.0970938,16:16:54.097
34,1775225814.102089,16:16:54.102
35,1775225814.1144712,16:16:54.114
36,1775225814.1304915,16:16:54.130
37,1775225814.1354861,16:16:54.135
38,1775225814.1458766,16:16:54.145
39,1775225814.1619399,16:16:54.161
40,1775225814.1649318,16:16:54.164
41,1775225814.1777291,16:16:54.177
42,1775225814.181164,16:16:54.181
43,1775225814.1931853,16:16:54.193
44,1775225814.1962306,16:16:54.196
45,1775225814.2094889,16:16:54.209
46,1775225814.2134657,16:16:54.213
47,1775225814.233463,16:16:54.233
48,1775225814.244466,16:16:54.244
49,1775225814.25572,16:16:54.255
50,1775225814.2587125,16:16:54.258
51,1775225814.272946,16:16:54.272
52,1775225814.2759936,16:16:54.275
53,1775225814.28946,16:16:54.289
54,1775225814.3061864,16:16:54.306
55,1775225814.3092372,16:16:54.309
56,1775225814.3303332,16:16:54.330
57,1775225814.3491764,16:16:54.349
58,1775225814.354193,16:16:54.354
59,1775225814.3571858,16:16:54.357
60,1775225814.369386,16:16:54.369
61,1775225814.3723736,16:16:54.372
62,1775225814.384622,16:16:54.384
63,1775225814.3885684,16:16:54.388
64,1775225814.400565,16:16:54.400
65,1775225814.4046154,16:16:54.404
66,1775225814.417242,16:16:54.417
67,1775225814.4405365,16:16:54.440
68,1775225814.4612434,16:16:54.461
69,1775225814.4662447,16:16:54.466
70,1775225814.4704669,16:16:54.470
71,1775225814.4811943,16:16:54.481
72,1775225814.484193,16:16:54.484
73,1775225814.497345,16:16:54.497
74,1775225814.5013883,16:16:54.501
75,1775225814.5136504,16:16:54.513
76,1775225814.5166473,16:16:54.516
77,1775225814.5296495,16:16:54.529
78,1775225814.5325956,16:16:54.532
79,1775225814.556251,16:16:54.556
80,1775225814.566704,16:16:54.566
81,1775225814.5767267,16:16:54.576
82,1775225814.580722,16:16:54.580
83,1775225814.5932002,16:16:54.593
84,1775225814.5964692,16:16:54.596
85,1775225814.6084914,16:16:54.608
86,1775225814.6124918,16:16:54.612
87,1775225814.6246781,16:16:54.624
88,1775225814.62865,16:16:54.628
89,1775225814.6408105,16:16:54.640
90,1775225814.6457603,16:16:54.645
91,1775225814.6637855,16:16:54.663
92,1775225814.6749504,16:16:54.674
93,1775225814.6893156,16:16:54.689
94,1775225814.7042198,16:16:54.704
95,1775225814.7072356,16:16:54.707
96,1775225814.721864,16:16:54.721
97,1775225814.7249043,16:16:54.724
98,1775225814.7376182,16:16:54.737
99,1775225814.7406638,16:16:54.740
100,1775225814.7546358,16:16:54.754
101,1775225814.7586153,16:16:54.758
102,1775225814.7826276,16:16:54.782
103,1775225814.7890916,16:16:54.789
104,1775225814.7995608,16:16:54.799
105,1775225814.802672,16:16:54.802
106,1775225814.815338,16:16:54.815
107,1775225814.8329885,16:16:54.832
108,1775225814.8359928,16:16:54.835
109,1775225814.8498485,16:16:54.849
110,1775225814.8527868,16:16:54.852
111,1775225814.8654509,16:16:54.865
112,1775225814.870984,16:16:54.870
113,1775225814.8996048,16:16:54.899
114,1775225814.9056022,16:16:54.905
115,1775225814.9248416,16:16:54.924
116,1775225814.9342523,16:16:54.934
117,1775225814.943971,16:16:54.943
118,1775225814.9469876,16:16:54.946
119,1775225814.960973,16:16:54.960
120,1775225814.9785929,16:16:54.978
121,1775225815.0015426,16:16:55.001
122,1775225815.0055099,16:16:55.005
123,1775225815.0094993,16:16:55.009
124,1775225815.0125,16:16:55.012
125,1775225815.0256004,16:16:55.025
126,1775225815.0286405,16:16:55.028
127,1775225815.0411403,16:16:55.041
128,1775225815.0441296,16:16:55.044
129,1775225815.0570211,16:16:55.057
130,1775225815.0610137,16:16:55.061
131,1775225815.0730708,16:16:55.073
132,1775225815.0760095,16:16:55.076
133,1775225815.0897417,16:16:55.089
134,1775225815.1172528,16:16:55.117
135,1775225815.1222486,16:16:55.122
136,1775225815.1252503,16:16:55.125
137,1775225815.1375806,16:16:55.137
138,1775225815.1406121,16:16:55.140
139,1775225815.1528444,16:16:55.152
140,1775225815.1558797,16:16:55.155
141,1775225815.1690795,16:16:55.169
142,1775225815.173118,16:16:55.173
143,1775225815.1847303,16:16:55.184
144,1775225815.1886804,16:16:55.188
145,1775225815.2012892,16:16:55.201
146,1775225815.226474,16:16:55.226
147,1775225815.2331126,16:16:55.233
148,1775225815.2492807,16:16:55.249
149,1775225815.2532465,16:16:55.253
150,1775225815.279867,16:16:55.279
151,1775225815.284914,16:16:55.284
152,1775225815.2978213,16:16:55.297
153,1775225815.303278,16:16:55.303
154,1775225815.3312638,16:16:55.331
155,1775225815.3440232,16:16:55.344
156,1775225815.3470376,16:16:55.347
157,1775225815.3608813,16:16:55.360
158,1775225815.3768647,16:16:55.376
159,1775225815.379908,16:16:55.379
160,1775225815.392587,16:16:55.392
161,1775225815.3968554,16:16:55.396
162,1775225815.408767,16:16:55.408
163,1775225815.433774,16:16:55.433
164,1775225815.4407692,16:16:55.440
165,1775225815.4450238,16:16:55.445
166,1775225815.457014,16:16:55.457
167,1775225815.4600303,16:16:55.460
168,1775225815.4838226,16:16:55.483
169,1775225815.4959903,16:16:55.495
170,1775225815.5049756,16:16:55.504
171,1775225815.5079362,16:16:55.507
172,1775225815.5359294,16:16:55.535
173,1775225815.548931,16:16:55.548
174,1775225815.5529354,16:16:55.552
175,1775225815.5569768,16:16:55.556
176,1775225815.5689247,16:16:55.568
177,1775225815.571973,16:16:55.571
178,1775225815.585331,16:16:55.585
179,1775225815.5893254,16:16:55.589
180,1775225815.6011674,16:16:55.601
181,1775225815.6041186,16:16:55.604
182,1775225815.6170204,16:16:55.617
183,1775225815.619975,16:16:55.619
184,1775225815.632793,16:16:55.632
185,1775225815.6507745,16:16:55.650
186,1775225815.662741,16:16:55.662
187,1775225815.666725,16:16:55.666
188,1775225815.681058,16:16:55.681
189,1775225815.6840036,16:16:55.684
190,1775225815.6972694,16:16:55.697
191,1775225815.7003107,16:16:55.700
192,1775225815.7136528,16:16:55.713
193,1775225815.7166455,16:16:55.716
194,1775225815.7296538,16:16:55.729
195,1775225815.7326508,16:16:55.732
196,1775225815.765758,16:16:55.765
197,1775225815.7697284,16:16:55.769
198,1775225815.776775,16:16:55.776
199,1775225815.7797258,16:16:55.779
200,1775225815.7933097,16:16:55.793
201,1775225815.796891,16:16:55.796
202,1775225815.8084524,16:16:55.808
203,1775225815.8114579,16:16:55.811
204,1775225815.8256574,16:16:55.825
205,1775225815.8286455,16:16:55.828
206,1775225815.840458,16:16:55.840
207,1775225815.8444529,16:16:55.844
208,1775225815.8664825,16:16:55.866
209,1775225815.8804986,16:16:55.880
210,1775225815.8895311,16:16:55.889
211,1775225815.892507,16:16:55.892
212,1775225815.9050221,16:16:55.905
213,1775225815.921995,16:16:55.921
214,1775225815.9250064,16:16:55.925
215,1775225815.9375076,16:16:55.937
216,1775225815.9405556,16:16:55.940
217,1775225815.9535844,16:16:55.953
218,1775225815.958824,16:16:55.958
219,1775225815.972869,16:16:55.972
220,1775225815.9912941,16:16:55.991
221,1775225816.0008,16:16:56.000
222,1775225816.0048018,16:16:56.004
223,1775225816.0171053,16:16:56.017
224,1775225816.0211003,16:16:56.021
225,1775225816.0333152,16:16:56.033
226,1775225816.0491583,16:16:56.049
227,1775225816.0524085,16:16:56.052
228,1775225816.0648692,16:16:56.064
229,1775225816.0714169,16:16:56.071
230,1775225816.0904584,16:16:56.090
231,1775225816.1021743,16:16:56.102
232,1775225816.113907,16:16:56.113
233,1775225816.1168735,16:16:56.116
234,1775225816.1296742,16:16:56.129
235,1775225816.132669,16:16:56.132
236,1775225816.1462061,16:16:56.146
237,1775225816.1492767,16:16:56.149
238,1775225816.162553,16:16:56.162
239,1775225816.1790159,16:16:56.179
240,1775225816.1832478,16:16:56.183
241,1775225816.2027843,16:16:56.202
242,1775225816.2119513,16:16:56.211
243,1775225816.224546,16:16:56.224
244,1775225816.227556,16:16:56.227
245,1775225816.240743,16:16:56.240
246,1775225816.2447095,16:16:56.244
247,1775225816.257493,16:16:56.257
248,1775225816.260537,16:16:56.260
249,1775225816.2728217,16:16:56.272
250,1775225816.2758167,16:16:56.275
251,1775225816.2893457,16:16:56.289
252,1775225816.3019629,16:16:56.301
253,1775225816.3233373,16:16:56.323
254,1775225816.3377414,16:16:56.337
255,1775225816.340726,16:16:56.340
256,1775225816.3537118,16:16:56.353
257,1775225816.3577387,16:16:56.357
258,1775225816.3687117,16:16:56.368
259,1775225816.372662,16:16:56.372
260,1775225816.3848326,16:16:56.384
261,1775225816.3878286,16:16:56.387
262,1775225816.4085338,16:16:56.408
263,1775225816.433543,16:16:56.433
264,1775225816.448002,16:16:56.448
265,1775225816.4520707,16:16:56.452
266,1775225816.464614,16:16:56.464
267,1775225816.4671764,16:16:56.467
268,1775225816.4806201,16:16:56.480
269,1775225816.4847353,16:16:56.484
270,1775225816.4978507,16:16:56.497
271,1775225816.5008924,16:16:56.500
272,1775225816.5198505,16:16:56.519
273,1775225816.5378888,16:16:56.537
274,1775225816.545749,16:16:56.545
275,1775225816.5487905,16:16:56.548
276,1775225816.561506,16:16:56.561
277,1775225816.5774019,16:16:56.577
278,1775225816.5814195,16:16:56.581
279,1775225816.5931244,16:16:56.593
280,1775225816.596117,16:16:56.596
281,1775225816.6093538,16:16:56.609
282,1775225816.6490922,16:16:56.649
283,1775225816.6570613,16:16:56.657
284,1775225816.6601105,16:16:56.660
285,1775225816.6723287,16:16:56.672
286,1775225816.676322,16:16:56.676
287,1775225816.689462,16:16:56.689
288,1775225816.692458,16:16:56.692
289,1775225816.7061858,16:16:56.706
290,1775225816.7242985,16:16:56.724
291,1775225816.755212,16:16:56.755
292,1775225816.7602117,16:16:56.760
293,1775225816.7682161,16:16:56.768
294,1775225816.7712061,16:16:56.771
295,1775225816.7855961,16:16:56.785
296,1775225816.7886093,16:16:56.788
297,1775225816.8004537,16:16:56.800
298,1775225816.8040118,16:16:56.804
299,1775225816.8166027,16:16:56.816
300,1775225816.820655,16:16:56.820
301,1775225816.8335946,16:16:56.833
302,1775225816.8587625,16:16:56.858
303,1775225816.862724,16:16:56.862
304,1775225816.8657227,16:16:56.865
305,1775225816.8804605,16:16:56.880
306,1775225816.8834724,16:16:56.883
307,1775225816.8975008,16:16:56.897
308,1775225816.8995779,16:16:56.899
309,1775225816.9130301,16:16:56.913
310,1775225816.9160295,16:16:56.916
311,1775225816.9276605,16:16:56.927
312,1775225816.930685,16:16:56.930
313,1775225816.9509487,16:16:56.950
