Frame_Index,System_Time_s,Human_Readable
0,1775225702.5766802,16:15:02.576
1,1775225702.5818539,16:15:02.581
2,1775225702.597383,16:15:02.597
3,1775225702.6013634,16:15:02.601
4,1775225702.613012,16:15:02.613
5,1775225702.6160479,16:15:02.616
6,1775225702.633741,16:15:02.633
7,1775225702.651281,16:15:02.651
8,1775225702.6601923,16:15:02.660
9,1775225702.6641955,16:15:02.664
10,1775225702.6765678,16:15:02.676
11,1775225702.6932073,16:15:02.693
12,1775225702.6971319,16:15:02.697
13,1775225702.7075582,16:15:02.707
14,1775225702.7115564,16:15:02.711
15,1775225702.7237148,16:15:02.723
16,1775225702.7290661,16:15:02.729
17,1775225702.7456505,16:15:02.745
18,1775225702.7618024,16:15:02.761
19,1775225702.7797847,16:15:02.779
20,1775225702.796787,16:15:02.796
21,1775225702.8039565,16:15:02.803
22,1775225702.8214133,16:15:02.821
23,1775225702.825404,16:15:02.825
24,1775225702.8397295,16:15:02.839
25,1775225702.8427424,16:15:02.842
26,1775225702.8610482,16:15:02.861
27,1775225702.8785298,16:15:02.878
28,1775225702.8945537,16:15:02.894
29,1775225702.9046888,16:15:02.904
30,1775225702.9157999,16:15:02.915
31,1775225702.918797,16:15:02.918
32,1775225702.9329724,16:15:02.932
33,1775225702.9488244,16:15:02.948
34,1775225702.9518113,16:15:02.951
35,1775225702.9657543,16:15:02.965
36,1775225702.9697583,16:15:02.969
37,1775225703.001339,16:15:03.001
38,1775225703.03621,16:15:03.036
39,1775225703.0433416,16:15:03.043
40,1775225703.0469823,16:15:03.046
41,1775225703.0601907,16:15:03.060
42,1775225703.0722332,16:15:03.072
43,1775225703.0879872,16:15:03.087
44,1775225703.0926993,16:15:03.092
45,1775225703.0957723,16:15:03.095
46,1775225703.107717,16:15:03.107
47,1775225703.1107502,16:15:03.110
48,1775225703.1242168,16:15:03.124
49,1775225703.1271603,16:15:03.127
50,1775225703.1403894,16:15:03.140
51,1775225703.1433864,16:15:03.143
52,1775225703.1568918,16:15:03.156
53,1775225703.1598823,16:15:03.159
54,1775225703.1719296,16:15:03.171
55,1775225703.1759927,16:15:03.175
56,1775225703.1924753,16:15:03.192
57,1775225703.2150116,16:15:03.215
58,1775225703.2200222,16:15:03.220
59,1775225703.2243946,16:15:03.224
60,1775225703.2375238,16:15:03.237
61,1775225703.2405596,16:15:03.240
62,1775225703.2535605,16:15:03.253
63,1775225703.2565956,16:15:03.256
64,1775225703.2686045,16:15:03.268
65,1775225703.2725952,16:15:03.272
66,1775225703.2844257,16:15:03.284
67,1775225703.2904205,16:15:03.290
68,1775225703.3044295,16:15:03.304
69,1775225703.3219407,16:15:03.321
70,1775225703.3312755,16:15:03.331
71,1775225703.335385,16:15:03.335
72,1775225703.348679,16:15:03.348
73,1775225703.3654184,16:15:03.365
74,1775225703.3684182,16:15:03.368
75,1775225703.3811893,16:15:03.381
76,1775225703.3842528,16:15:03.384
77,1775225703.3962238,16:15:03.396
78,1775225703.4094636,16:15:03.409
79,1775225703.4262745,16:15:03.426
80,1775225703.431121,16:15:03.431
81,1775225703.434503,16:15:03.434
82,1775225703.442749,16:15:03.442
83,1775225703.446683,16:15:03.446
84,1775225703.4605865,16:15:03.460
85,1775225703.4636042,16:15:03.463
86,1775225703.4760191,16:15:03.476
87,1775225703.4913583,16:15:03.491
88,1775225703.4964187,16:15:03.496
89,1775225703.5093153,16:15:03.509
90,1775225703.539449,16:15:03.539
91,1775225703.544441,16:15:03.544
92,1775225703.5570722,16:15:03.557
93,1775225703.5600648,16:15:03.560
94,1775225703.5727234,16:15:03.572
95,1775225703.5767612,16:15:03.576
96,1775225703.5876527,16:15:03.587
97,1775225703.5906467,16:15:03.590
98,1775225703.6050873,16:15:03.605
99,1775225703.6269407,16:15:03.626
100,1775225703.6325147,16:15:03.632
101,1775225703.6355548,16:15:03.635
102,1775225703.6385112,16:15:03.638
103,1775225703.6519606,16:15:03.651
104,1775225703.6560042,16:15:03.656
105,1775225703.6680152,16:15:03.668
106,1775225703.672019,16:15:03.672
107,1775225703.6837285,16:15:03.683
108,1775225703.687746,16:15:03.687
109,1775225703.6999454,16:15:03.699
110,1775225703.70394,16:15:03.703
111,1775225703.7153964,16:15:03.715
112,1775225703.718625,16:15:03.718
