Frame_Index,System_Time_s,Human_Readable
0,1775225960.4361951,16:19:20.436
1,1775225960.4444618,16:19:20.444
2,1775225960.447448,16:19:20.447
3,1775225960.4616342,16:19:20.461
4,1775225960.465665,16:19:20.465
5,1775225960.4820976,16:19:20.482
6,1775225960.4921348,16:19:20.492
7,1775225960.4971235,16:19:20.497
8,1775225960.5082047,16:19:20.508
9,1775225960.5252118,16:19:20.525
10,1775225960.5291548,16:19:20.529
11,1775225960.5407412,16:19:20.540
12,1775225960.5447488,16:19:20.544
13,1775225960.5570714,16:19:20.557
14,1775225960.5600085,16:19:20.560
15,1775225960.5997505,16:19:20.599
16,1775225960.6054387,16:19:20.605
17,1775225960.6084273,16:19:20.608
18,1775225960.6214433,16:19:20.621
19,1775225960.6244316,16:19:20.624
20,1775225960.6371994,16:19:20.637
21,1775225960.6531992,16:19:20.653
22,1775225960.6561477,16:19:20.656
23,1775225960.6691968,16:19:20.669
24,1775225960.6732302,16:19:20.673
25,1775225960.691247,16:19:20.691
26,1775225960.712792,16:19:20.712
27,1775225960.718181,16:19:20.718
28,1775225960.722202,16:19:20.722
29,1775225960.7331674,16:19:20.733
30,1775225960.7361622,16:19:20.736
31,1775225960.7485101,16:19:20.748
32,1775225960.751552,16:19:20.751
33,1775225960.7650733,16:19:20.765
34,1775225960.7803922,16:19:20.780
35,1775225960.783424,16:19:20.783
36,1775225960.8080814,16:19:20.808
37,1775225960.8197024,16:19:20.819
38,1775225960.8284404,16:19:20.828
39,1775225960.832462,16:19:20.832
40,1775225960.8445432,16:19:20.844
41,1775225960.8485682,16:19:20.848
42,1775225960.8613245,16:19:20.861
43,1775225960.8643525,16:19:20.864
44,1775225960.8763285,16:19:20.876
45,1775225960.8793736,16:19:20.879
46,1775225960.892116,16:19:20.892
47,1775225960.8985503,16:19:20.898
48,1775225960.9274693,16:19:20.927
49,1775225960.9314606,16:19:20.931
50,1775225960.9400883,16:19:20.940
51,1775225960.944088,16:19:20.944
52,1775225960.9558551,16:19:20.955
53,1775225960.9598517,16:19:20.959
54,1775225960.972859,16:19:20.972
55,1775225960.9758542,16:19:20.975
56,1775225960.9889333,16:19:20.988
57,1775225960.991886,16:19:20.991
58,1775225961.0053146,16:19:21.005
59,1775225961.0223079,16:19:21.022
60,1775225961.03908,16:19:21.039
61,1775225961.0551643,16:19:21.055
62,1775225961.058111,16:19:21.058
63,1775225961.0689986,16:19:21.068
64,1775225961.0729873,16:19:21.072
65,1775225961.085043,16:19:21.085
66,1775225961.0890532,16:19:21.089
67,1775225961.1014628,16:19:21.101
68,1775225961.107227,16:19:21.107
69,1775225961.1472232,16:19:21.147
70,1775225961.1562135,16:19:21.156
71,1775225961.1799815,16:19:21.179
72,1775225961.1968966,16:19:21.196
73,1775225961.1989117,16:19:21.198
74,1775225961.2133594,16:19:21.213
75,1775225961.2358103,16:19:21.235
76,1775225961.2488077,16:19:21.248
77,1775225961.2612388,16:19:21.261
78,1775225961.2632155,16:19:21.263
79,1775225961.2770855,16:19:21.277
80,1775225961.281093,16:19:21.281
81,1775225961.291762,16:19:21.291
82,1775225961.2958024,16:19:21.295
83,1775225961.3081584,16:19:21.308
84,1775225961.3251493,16:19:21.325
85,1775225961.3301382,16:19:21.330
86,1775225961.3491406,16:19:21.349
87,1775225961.362146,16:19:21.362
88,1775225961.3894103,16:19:21.389
89,1775225961.3964012,16:19:21.396
90,1775225961.4038997,16:19:21.403
91,1775225961.4072063,16:19:21.407
92,1775225961.4202273,16:19:21.420
93,1775225961.4234107,16:19:21.423
94,1775225961.4434195,16:19:21.443
